Municipios,Aji,Arveja a,Arveja b,Cebolla larga,cilantro a,cilantro b,Habichuela a,Habichuela b,Lechuga a,Lechuga b,Pepino a,Pepino b,Pimenton a,Pimenton b,Repollo a,Repollo b,Tomate a,Tomate b,Tomate invernadero a,Tomate invernadero b,Zanahoria A,Zanahoria B,Zapallo A,Zapallo B,Año
El Cerrito,0,0,0,6500,192,192,0,0,0,0,0,0,0,0,1000,1000,250,250,0,0,0,0,0,0,2019
El Dovio,0,0,0,0,0,0,396,408,0,0,1092,1140,720,615,1803.2,2631.3,1863,1306.4,0,0,0,0,288,234,2019
Florida,0,64,56,0,184,248.5,75,156,0,0,180,320,0,0,0,0,700,910,0,0,0,0,0,0,2019
Ginebra,0,22.8,22.8,0,0,0,28,30.4,0,0,75,84,21.6,21.6,0,0,37.5,70,0,0,0,0,0,0,2019
Guacarì,18,0,0,0,112,112,80,96,0,0,150,120,72,108,0,0,500,540,0,0,0,0,0,0,2019
Jamundì,0,0,0,0,7.5,10,31.5,36,0,0,0,0,0,0,0,0,87.5,100,0,0,0,0,12,12,2019
La Cumbre,140,0,0,0,25.6,25.6,470,475,550,550,100,100,0,0,241.5,241.5,2564.8,2634.8,0,0,0,0,581,770,2019
La Uniòn,512.5,0,0,0,3.6,3,0,0,0,0,0,0,91.2,134.4,0,0,58.9,31,80,60,0,0,0,0,2019
La Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Obando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,250,0,0,0,0,0,0,2019
Palmira,0,19.8,19.8,70,1200,1200,187.5,187.5,0,0,59.4,59.4,51,51,400,400,0,0,92.5,92.5,0,0,15,15,2019
Pradera,350,45,45,600,0,12,196,210,0,0,400,400,22.5,0,0,0,175,175,0,0,0,0,0,0,2019
Restrepo,320,0,0,0,0,0,56,30,0,0,35,105,384,600,0,0,1400,1100,210,120,0,0,650,780,2019
Riofrìo,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,100,80,275,150,0,0,0,0,2019
Roldanillo,211.9,0,0,0,0,0,245,231,0,0,105,147,675,486,700,700,169,270,0,0,0,0,68,68,2019
San Pedro,84,0,0,0,170,127.5,176,160,0,0,140,375,180,150,60,128,675,875,0,0,0,0,0,0,2019
Sevilla,0,0,0,0,0,32,196,240,0,0,0,0,0,0,75,75,180,180,0,0,0,0,0,0,2019
Toro,30,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,150,150,0,0,0,0,0,0,2019
Trujillo,94.5,0,0,0,0,0,47.5,42,0,0,0,0,98,109.5,0,0,56.3,58.8,105,107.2,0,0,0,0,2019
Tuluà,0,60,55,100,48,48,140,160,10.5,17.5,24,28,20,40.3,42,112,408,570,0,0,810,750,80,120,2019
Ulloa,0,0,0,0,0,0,5.8,18,0,0,0,0,9.6,45,0,0,28.8,0,0,0,0,0,0,0,2019
Versalles,0,10,10,0,0,0,24,32,0,0,60,60,150,90,180,240,175,210,0,0,0,0,30,40,2019
Vijes,560,0,0,90,33,32.2,76.5,36,0,0,123,97.5,360,176.8,0,0,2310,904.4,0,0,0,0,0,0,2019
Yotoco,0,0,0,10,24,32,90,72,0,0,0,0,90,120,0,0,360,480,0,0,0,0,120,64,2019
Yumbo,63.2,5.1,5.1,106.2,292.5,300,24.3,35.1,44.2,53.6,10,0,30,26.9,0,0,7.5,7.5,283.6,238,0,0,63,75,2019
Zarzal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
